"number","opened_at","closed_at","priority","state","assignment_group","short_description","location.country","location.name","location.u_it_brm","location.u_it_operations_manager","location.u_region","location.u_site_name","u_resolution_code","u_root_cause","u_root_cause_category","u_root_cause_code","u_root_cause_subcategory","u_rca_required","universal_request.ref_problem_task.u_rca_delivered","universal_request.ref_problem_task.u_rca_delivered_date"
"PRB0050873","2025-04-01 06:32:12","2025-11-11 03:12:19","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2-INC7440733-EMEA-Fuel Injection Systems-Clear Case Synchronization issues at 00269 - Izmir - Turkey / ESBAS 2 (PT Phase 1) and 00202 - Blois - France on 28th ","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Unresolved - Rejected","","Root Cause Not Found","","Sub Root Cause Not Found","Yes","false",""
"PRB0050874","2025-04-03 06:16:14","2025-11-11 03:10:36","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2: IN: AL: PH - Network: Network is experiencing a degradation at Blios - France","France","00202","Djilli, Azzeddine","Gauthier, Guillaume","EMEA","Blois - France","Unresolved - Rejected","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050875","2025-04-03 09:21:14","2025-04-08 10:00:00","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2 - IN: AL: PH - Confluence: Confluence is experiencing a degradation at 00269 - Izmir - Turkey.","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Accepted Known Error - Workaround Implem","","Root cause not required","","Root cause not required","No","false",""
"PRB0050887","2025-04-26 09:47:44","2025-07-28 01:46:02","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2: IN:HP:PH ERROR  IN  PN1, RO10 for  T code - ZMDEPICKWIP /ZMDETSP ,appear error when we tray  to transfer from 001w to 0002/002M for PTP team","Romania","10304","Serbanuta, Florin-Rafael","Cazan, Anca","EMEA","Iasi - Romania","Resolved - Root Cause Removed","","Application","","Configuration","Yes","false",""
"PRB0050888","2025-04-28 10:54:26","2025-06-10 06:08:25","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Wired and wireless connection is down on Izmir site","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Resolved - Root Cause Removed","","Network","","Connectivity","Yes","false",""
"PRB0050889","2025-04-30 06:16:59","2025-11-11 03:15:09","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2-LAN is experiencing a degradation  at 20030 - Rzeszow - Poland","Poland","20030","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Rzeszow - Poland","Unresolved - Rejected","","Root Cause Not Found","","Sub Root Cause Not Found","Yes","false",""
"PRB0050890","2025-05-01 07:36:29","2025-07-22 04:12:55","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Power outage at 20028 - Technical Center Krakow-1st May'25","Poland","20028","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Technical Center Krakow","Resolved - Root Cause Removed","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050895","2025-05-08 10:30:42","2025-05-08 10:53:32","2 - High","Pending Change","CFS_INCIDENT_MANAGER","Clearcase is not responsive ","United Kingdom","00274","Marshall, Daren","Proyer, Damon","EMEA","Gillingham - United Kingdom","Accepted Known Error - Workaround Implem","
Hosting team rebooted the Server ""UKGIL-AP16"", after the reboot server is up and process running fine.
same is confirmed with users, hence resolving the incident.

SDM also confirmed that RCA is not required for this, hence closing problem record as well.","","","","No","false",""
"PRB0050901","2025-05-16 03:10:31","2025-05-16 03:23:14","2 - High","Pending Change","CFS_PROBLEM_MANAGER","AP Down","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Accepted Known Error - Workaround Implem","","Root cause not required","","Root cause not required","No","false",""
"PRB0050903","2025-05-19 05:17:13","2025-10-06 07:30:09","2 - High","Pending Change","CFS_PROBLEM_MANAGER","SAP BASIS TECCOMN RFC down","United Kingdom","10610","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Warwick - United Kingdom","Resolved - Root Cause Removed","","Application","","Known Error","Yes","false",""
"PRB0050904","2025-05-20 10:53:56","2025-07-22 13:46:17","2 - High","Pending Change","CFS_PROBLEM_MANAGER","No internet connection","United Kingdom","10610","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Warwick - United Kingdom","Resolved - Root Cause Removed","","Root cause not required","","Root cause not required","Yes","false",""
"PRB0050913","2025-05-30 01:28:11","2025-07-23 05:31:25","2 - High","Pending Change","CFS_INCIDENT_MANAGER","P2 - Urgent: The server ROIAS-FP03 IS NOT ACCESSIBLE","Romania","10304","Serbanuta, Florin-Rafael","Cazan, Anca","EMEA","Iasi - Romania","Resolved - Root Cause Removed","","Hardware","","Connectivity","Yes","false",""
"PRB0050918","2025-06-04 11:11:22","2025-07-22 03:50:10","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2 - Cannot access folder under Denilift (see attached picture)","Germany","10605","Skrzypczynski, Jacob","S K, Arif","EMEA","Duesseldorf - Germany","Resolved - Root Cause Removed","","Under Investigation","","Sub Root Cause Not Found","Yes","false",""
"PRB0050922","2025-06-10 09:38:19","2025-07-28 15:04:36","2 - High","Pending Change","CFS_INCIDENT_MANAGER","P2 - We currently consuming 100% of your net connection capability - it's a case of whole Rzeszów / Jasionka Location,","Poland","20030","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Rzeszow - Poland","Resolved - Root Cause Removed","","Software","","Capacity/ Performance","Yes","false",""
"PRB0050923","2025-06-17 05:22:36","2025-07-22 05:14:34","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2 - Internet not working on Iasi site","Romania","10304","Serbanuta, Florin-Rafael","Cazan, Anca","EMEA","Iasi - Romania","Resolved - Root Cause Removed","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050925","2025-06-23 04:25:18","2025-07-22 05:13:26","2 - High","Pending Change","CFS_PROBLEM_MANAGER","AP Down","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Resolved - Root Cause Removed","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050928","2025-06-24 05:08:16","2025-07-22 03:40:12","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2 - Server: \\10.34.136.46 Queue: UKHAR-P001, 2 & 3 are all offline.","United Kingdom","10415","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Hartridge - United Kingdom","Resolved - Root Cause Removed","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050930","2025-06-25 04:11:01","2025-10-07 02:09:45","2 - High","Pending Change","CFS_PROBLEM_MANAGER","AP Down","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Deferred","","Network","","Connectivity","No","false",""
"PRB0050933","2025-06-30 13:52:19","2025-07-23 14:04:46","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2 - Intermittent Network issues at Buckingham site","United Kingdom","10415","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Hartridge - United Kingdom","Resolved - No Action Taken","","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050937","2025-07-15 03:24:01","2025-07-29 03:12:53","2 - High","Pending Change","CFS_INCIDENT_MANAGER","SAP PN1 - LABEL MAGEMENT FROM LOFTWARE PRINTER SERVOR ISSUE ON PRINTER  36 ON PLANT FF51 - IP 10.234.143.123","France","00202","Djilli, Azzeddine","Gauthier, Guillaume","EMEA","Blois - France","Resolved - Root Cause Removed","","Hardware","","Configuration","Yes","false",""
"PRB0050938","2025-07-16 03:20:50","2025-11-17 07:22:47","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2 - There is a DHCP issue in VLAN 354 with the 10.239.5.0/24 network. Currently, none of our devices are receiving IP addresses, and we cannot access servers","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Resolved - Root Cause Removed","- Initially issue was reported for VLAN 354 & VLAN 3
- Due to limited access, From Network End we have de-configured for Failover for the VLAN 354 Scope and removed Amsterdam DHCP server from DHCP helper
- Only kept local DHCP server as helper for VLAN 354 however still same issue observed. Means local DHCP server was also not working.
- Asked AD Team to perform failover and make Local DHCP Server as a primary & Remote DHCP server as Secondary
- Involved Zscaler to check issue and observed DHCP Request sent to Amsterdam DHCP server however no response.
- Local IT confirmed that other VLANs machine also slowly getting affected as lease getting Expiring.
- Decided to move Affected DHCP scope to Local Site Core switch.
- Observed Error while configuring DHCP Scopes on local Site Core switch so involved Cisco TAC for help
- Cisco TAC didn't find anything so suggested to Failover services on standby module (5 mins downtime) which was not agreed considering 24/7 Operational site.
- Cisco TAC suggested to perform software upgrade and reboot Core switch (1 hr maintenance window) which was also not agreed considering 24/7 Operational site.
- During Cisco Call, FAN Liu suggested option to configure DHCP Scope on Distribution/Access Switch.
- Aside Local IT helped to install Wireshark on one of the Affected machine and observed DHCP request sent however no reply.
- AD Team also installed Wireshark on DHCP server however we were not able to apply filter to capture DHCP traffic.
- Meantime we successfully shifted DHCP Scope for vlan 354 on Distribution switch and local IT confirmed its working.
- We decided to move all affected DHCP scopes to Distribution Switch as more machines reporting issue as lease was getting expire.
- We moved below DHCP Scopes to Distribution switch and local IT confirmed all are working fine.
","Network","","Configuration","Yes","false",""
"PRB0050947","2025-07-31 04:15:08","2025-07-31 05:37:48","2 - High","Pending Change","CFS_INCIDENT_MANAGER","No connection to ClearCase View server (TRIZM-AP06)","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Resolved - Root Cause Removed","","Root cause not required","","Root cause not required","No","false",""
